Taxid;Kingdom;Phylum;Class;Order;Family;Genus;Species;Annotation_type;Accession;Submitting_institution;Submitting_country;Submitting_continent;Submitting_region;South_or_north;Assembly_level;Contig_n50;Log_contig_n50;Display_name;Common_name;NCBI_rank;Our_rank;Assembly_length;Log_length;Submission_date;Sequencing_technology;Tech_coarse;Data_timepoint;Project_title
407821;Eukaryota;Arthropoda;Arachnida;Araneae;Eresidae;Stegodyphus;Stegodyphus mimosarum;GENOME_GFF;GCA_000611955.2;BGI;China;Asia;Asia;global_south;Scaffold;40146;4,6;Stegodyphus_mimosarum_v1;;SPECIES;species;2738704917;9,44;01.08.14;Illumina Hiseq 2000;short;2021_January;Stegodyphus mimosarum Genome sequencing and assembly
330961;Eukaryota;Arthropoda;Arachnida;Araneae;Lycosidae;Pardosa;Pardosa pseudoannulata;;GCA_008065355.1;Nanjing Agricultural University;China;Asia;Asia;global_south;Scaffold;23226;4,37;ASM806535v1;;SPECIES;species;4207954893;9,62;22.08.19;"Illumina HiSeq; PacBio";long;2021_January;Pardosa pseudoannulata isolate:batch1+2+3 Genome sequencing and assembly
257759;Eukaryota;Arthropoda;Arachnida;Araneae;Pisauridae;Dolomedes;Dolomedes plantarius;;GCA_907164885.1;Wellcome Sanger Institute;United Kingdom;Europe;Europe;global_north;Chromosome;2276774;6,36;qDolPla1.1;;SPECIES;species;2780156309;9,44;17.05.21;N/A;none;2021_June;Dolomedes plantarius (fen raft spider) genome assembly, qDolPla1
6921;Eukaryota;Arthropoda;Arachnida;Araneae;Sicariidae;Loxosceles;Loxosceles reclusa;;GCA_001188405.1;The i5k Initiative;USA;North America;North America;global_north;Scaffold;1834;3,26;Lrec_1.0;brown recluse;SPECIES;species;3262478678;9,51;27.04.15;Illumina;short;2021_January;Loxosceles reclusa Genome sequencing and assembly
411427;Eukaryota;Arthropoda;Arachnida;Araneae;Theridiidae;Anelosimus;Anelosimus studiosus;;GCA_008297655.1;UC Riverside;USA;North America;North America;global_north;Scaffold;1132;3,05;Anstu_k43;;SPECIES;species;2033432615;9,31;05.09.19;Illumina HiSeq;short;2021_January;Anelosimus studiosus Genome sequencing and assembly
256737;Eukaryota;Arthropoda;Arachnida;Araneae;Theridiidae;Latrodectus;Latrodectus hesperus;;GCA_000697925.2;The i5k Initiative;USA;North America;North America;global_north;Scaffold;15961;4,2;Lhes_2.0;western black widow;SPECIES;species;1233806489;9,09;05.02.18;Illumina;short;2021_January;Latrodectus hesperus isolate:LHES.00 Genome sequencing and assembly
114398;Eukaryota;Arthropoda;Arachnida;Araneae;Theridiidae;Parasteatoda;Parasteatoda tepidariorum;other: GCF_000365465.2;GCA_000365465.3;The i5k Initiative;USA;North America;North America;global_north;Scaffold;66479;4,82;Ptep_3.0;common house spider;SPECIES;species;1228972128;9,09;14.06.19;Illumina HiSeq;short;2021_January;Parasteatoda tepidariorum Genome sequencing and assembly
543639;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Dermacentor;Dermacentor silvarum;GENOME_GFF;GCF_013339745.1;TIGMIC Group;China;Asia;Asia;global_south;Chromosome;339999;5,53;ASM1333974v1;;SPECIES;species;2474293395;9,39;16.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
44386;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Haemaphysalis;Haemaphysalis longicornis;;GCA_013339765.1;TIGMIC Group;China;Asia;Asia;global_south;Chromosome;740000;5,87;ASM1333976v1;longhorned tick;SPECIES;species;2554955685;9,41;12.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
266040;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Hyalomma;Hyalomma asiaticum;;GCA_013339685.1;TIGMIC Group;China;Asia;Asia;global_south;Chromosome;555418;5,74;ASM1333968v1;;SPECIES;species;1713616657;9,23;12.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
34615;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes persulcatus;GENOME_GFF;GCA_013358835.1;TIGMIC Group;China;Asia;Asia;global_south;Scaffold;532865;5,73;BMI_IPER_1.0;taiga tick;SPECIES;species;1901626257;9,28;12.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
34613;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes ricinus;;GCA_000973045.2;Luxembourg Institute of Health;Luxembourg;Europe;Europe;global_north;Scaffold;3059;3,49;ASM97304v2;castor bean tick;SPECIES;species;514506549;8,71;24.08.16;PacBio;long;2021_January;Ixodes ricinus strain:Charles River Genome sequencing and assembly
6945;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Ixodes;Ixodes scapularis;GENOME_GFF;GCF_002892825.2;J. Craig Venter Institute;USA;North America;North America;global_north;Contig;835681;5,92;ISE6_asm2.2_deduplicated;black-legged tick;SPECIES;species;2081329876;9,32;28.09.18;PacBio;long;2021_January;Genome sequencing and assembly to generate subtraction databases to aid virus isolation
34611;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus annulatus;;GCA_013436015.1;USDA-Agricultural Research Service, USA;USA;North America;North America;global_north;Contig;436999;5,64;TxGen Rann;;SPECIES;species;2762431811;9,44;21.07.20;PacBio Sequel;long;2021_January;Rhipicephalus annulatus strain:Klein Grass Genome sequencing and assembly
6941;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus microplus;GENOME_GFF;GCF_013339725.1;TIGMIC Group;China;Asia;Asia;global_south;Chromosome;1791079;6,25;ASM1333972v1;southern cattle tick;SPECIES;species;2529915399;9,4;16.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
34632;Eukaryota;Arthropoda;Arachnida;Ixodida;Ixodidae;Rhipicephalus;Rhipicephalus sanguineus;GENOME_GFF;GCF_013339695.1;TIGMIC Group;China;Asia;Asia;global_south;Chromosome;541946;5,73;ASM1333969v1;brown dog tick;SPECIES;species;2365525320;9,37;16.06.20;PacBio Sequel;long;2021_January;Large-scale comparative analyses of tick genomes elucidate their genetic diversity and vector capacities
34641;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Dermanyssidae;Dermanyssus;Dermanyssus gallinae;;GCA_003439945.1;Moredun Research Institute;United Kingdom;Europe;Europe;global_north;Contig;278630;5,45;MRI_Dgall_1.0;;SPECIES;species;959010206;8,98;31.08.18;"PacBio RSII; Oxford Nanopore MiniION";long;2021_January;Dermanyssus gallinae isolate:Moredun Genome sequencing and assembly
418985;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Laelapidae;Tropilaelaps;Tropilaelaps mercedesae;GENOME_GFF;GCA_002081605.1;Xi'an Jiaotong-Liverpool University;China;Asia;Asia;global_south;Scaffold;12742;4,11;T. mercedesae_v01;;SPECIES;species;352534912;8,55;06.04.17;Illumina HiSeq;short;2021_January;Tropilaelaps mercedesae isolate:Wuxi-XJTLU Genome sequencing and assembly
34638;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Phytoseiidae;Galendromus;Galendromus occidentalis;GENOME_GFF;GCF_000255335.1;Baylor College of Medicine;USA;North America;North America;global_north;Scaffold;200706;5,3;Mocc_1.0;western predatory mite;SPECIES;species;151699350;8,18;27.03.12;454 XLR;short;2021_January;Metaseiulus occidentalis genome sequencing project
109461;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa destructor;GENOME_GFF;GCF_002443255.1;Ecology and Evolution Lab, Mikheyev Unit, Okinawa Institute of Science and Technology;Japan;Asia;Asia;global_north;Scaffold;201886;5,31;Vdes_3.0;honeybee mite;SPECIES;species;368925819;8,57;27.09.17;"PacBio RSII; Illumina Sequencing";long;2021_January;Whole genome sequencing and biogeography of the honey bee mite Varroa destructor
62625;Eukaryota;Arthropoda;Arachnida;Mesostigmata;Varroidae;Varroa;Varroa jacobsoni;GENOME_GFF;GCF_002532875.1;Okinawa Institute of Science and Technology;Japan;Asia;Asia;global_north;Scaffold;96009;4,98;vjacob_1.0;;SPECIES;species;365585945;8,56;10.10.17;Illumina HiSeq;short;2021_January;Varroa jacobsoni isolate:VJ856 Genome sequencing and assembly
51811;Eukaryota;Arthropoda;Arachnida;Pseudoscorpiones;Chernetidae;Cordylochernes;Cordylochernes scorpioides;;GCA_003123905.1;Lucigen Corp.;USA;North America;North America;global_north;Scaffold;9781;3,99;LUC_Cscorp1;;SPECIES;species;2807113356;9,45;14.05.18;Illumina HiSeq;short;2021_January;Cordylochernes scorpioides isolate:IN4F04 Genome sequencing and assembly
59818;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Acaridae;Tyrophagus;Tyrophagus putrescentiae;;GCA_012066115.1;University of Michigan;USA;North America;North America;global_north;Scaffold;12091;4,08;UMMZ_TP_P3.0F6;;SPECIES;species;95121465;7,98;09.04.20;Illumina HiSeq;short;2021_January;Tyrophagus putrescentiae and associated fungi and bacteria
229769;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Achipteriidae;Achipteria;Achipteria coleoptrata;;GCA_000988765.1;University of Lausanne;Switzerland;Europe;Europe;global_north;Scaffold;3360;3,53;ASM98876v1;;SPECIES;species;88443889;7,95;06.05.15;Illumina HiSeq;short;2021_January;Oribatid mite draft assemblies for TE comparisons
128015;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Camisiidae;Platynothrus;Platynothrus peltifer;;GCA_000988905.1;University of Lausanne;Switzerland;Europe;Europe;global_north;Scaffold;1236;3,09;ASM98890v1;;SPECIES;species;100532934;8;06.05.15;Illumina GAIIx;short;2021_January;Oribatid mite draft assemblies for TE comparisons
66581;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Hypochthoniidae;Hypochthonius;Hypochthonius rufulus;;GCA_000988845.1;University of Lausanne;Switzerland;Europe;Europe;global_north;Scaffold;3126;3,49;ASM98884v1;;SPECIES;species;172365132;8,24;06.05.15;Illumina HiSeq;short;2021_January;Oribatid mite draft assemblies for TE comparisons
1979941;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;Medioppia;Medioppia subpectinata;;GCA_904067535.1;UNIL;Switzerland;Europe;Europe;global_north;Scaffold;6352;3,8;1_Os_b1v03;;SPECIES;species;213169163;8,33;25.09.20;N/A;none;2021_January;Genome evolution under sexual and asexual reproduction (Mite genomes)
334625;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Oppiidae;Oppiella;Oppiella nova;;GCA_904067525.1;UNIL;Switzerland;Europe;Europe;global_north;Scaffold;6155;3,79;1_On_b1v03;;SPECIES;species;196724551;8,29;25.09.20;N/A;none;2021_January;Genome evolution under sexual and asexual reproduction (Mite genomes)
83912;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Psoroptidae;Psoroptes;Psoroptes ovis;;GCA_002943765.1;Moredun Research Institute;United Kingdom;Europe;Europe;global_north;Contig;2279290;6,36;ASM294376v1;sheep scab mite;SPECIES;species;63214126;7,8;26.02.18;PacBio;long;2021_January;Psoroptes ovis isolate:Moredun Genome sequencing and assembly
6954;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Dermatophagoides;Dermatophagoides farinae;;GCA_002085665.2;University of Southern Mississippi;USA;North America;North America;global_north;Scaffold;188869;5,28;Dfa_Genome_UMICH_USM_1.1;American house dust mite;SPECIES;species;91877446;7,96;10.04.17;"PacBio; Illumina HiSeq";long;2021_January;Dermatophagoides farinae  genome sequencing
6956;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Pyroglyphidae;Dermatophagoides;Dermatophagoides pteronyssinus;GENOME_GFF;GCF_001901225.1;Maynooth University;Ireland;Europe;Europe;global_north;Scaffold;68101;4,83;ASM190122v2;European house dust mite;SPECIES;species;70764025;7,85;21.06.17;Illumina HiSeq;short;2021_January;Dermatophagoides pteronyssinus Genome sequencing and assembly
52283;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Sarcoptidae;Sarcoptes;Sarcoptes scabiei;GENOME_GFF;GCA_014595675.1;University of Melbourne;Australia;Oceania;Oceania;global_north;Scaffold;1984575;6,3;ASM1459567v1;;SPECIES;species;56576587;7,75;15.09.20;PacBio;long;2021_January;Sarcoptes scabiei isolate:SSS_KF_BRIS2020 Genome sequencing and assembly
52000;Eukaryota;Arthropoda;Arachnida;Sarcoptiformes;Steganacaridae;Steganacarus;Steganacarus magnus;;GCA_000988885.1;University of Lausanne;Switzerland;Europe;Europe;global_north;Scaffold;1617;3,21;ASM98888v1;;SPECIES;species;113565242;8,06;06.05.15;Illumina GAIIx;short;2021_January;Oribatid mite draft assemblies for TE comparisons
6859;Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Androctonus;Androctonus mauritanicus;;GCA_011317285.1;IRIDIAN GENOMES;USA;North America;North America;global_north;Scaffold;23818;4,38;ASM1131728v1;;SPECIES;species;1459991325;9,16;16.03.20;Illumina;short;2021_January;Androctonus mauritanicus
218467;Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Centruroides;Centruroides sculpturatus;GENOME_GFF;GCF_000671375.1;The i5k Initiative;USA;North America;North America;global_north;Scaffold;52294;4,72;Cexi_2.0;bark scorpion;SPECIES;species;925474958;8,97;12.12.17;Illumina HiSeq;short;2021_January;Centruroides sculpturatus isolate:CEXI.00-Female Genome sequencing and assembly
34649;Eukaryota;Arthropoda;Arachnida;Scorpiones;Buthidae;Mesobuthus;Mesobuthus martensii;;GCA_000484575.1;"Institute of Plant Physiology &amp; Ecology, Shanghai Institutes for Biology Sciences, CAS";China;Asia;Asia;global_south;Contig;45228;4,66;M_martensii_Version_1;Chinese scorpion;SPECIES;species;925546267;8,97;28.10.13;"Illumina HiSeq; Illumina GAIIx; 454";short;2021_January;Genome Sequencing of Mesobuthus martensii
1227671;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Eriophyidae;Aculops;Aculops lycopersici;;GCA_015350385.1;Tomato Russet Mite Consortium;Netherlands;Europe;Europe;global_north;Scaffold;71287;4,85;ASM1535038v1;;SPECIES;species;32530641;7,51;10.11.20;454;short;2021_January;Aculops lycopersici Genome sequencing and assembly
1754060;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Tenuipalpidae;Brevipalpus;Brevipalpus yothersi;;GCA_003956705.1;VIB - UGent;Belgium;Europe;Europe;global_north;Scaffold;56226;4,75;VIB_BreviYothersi_1.0;;SPECIES;species;71154195;7,85;19.12.18;"454; Illumina MiSeq";short;2021_January;Brevipalpus yothersi isolate:EMBRAPA2013 Genome sequencing and assembly
50023;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Tetranychidae;Panonychus;Panonychus citri;;GCA_014898815.1;Citrus Research Institute, Southwest University/Chinese Academy of Agricultural Sciences;China;Asia;Asia;global_south;Contig;1807243;6,26;ASM1489881v1;citrus red mite;SPECIES;species;83967451;7,92;20.10.20;"Oxford Nanopore PromethION; Illumina HiSeq";long;2021_January;Genome de nove assembly of Panonychus citri
32264;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Tetranychidae;Tetranychus;Tetranychus urticae;GENOME_GFF;GCF_000239435.1;DOE Joint Genome Institute;USA;North America;North America;global_north;Scaffold;212780;5,33;ASM23943v1;two-spotted spider mite;SPECIES;species;90815494;7,96;20.12.11;N/A;short;2021_January;Tetranychus urticae genome project
299467;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Trombiculidae;Leptotrombidium;Leptotrombidium deliense;GENOME_GFF;GCA_003675905.2;University of Liverpool;United Kingdom;Europe;Europe;global_north;Scaffold;2903;3,46;ASM367590v2;scrub typhus mite;SPECIES;species;117319359;8,07;23.10.18;Illumina MiSeq;short;2021_January;Leptotrombidium deliense isolate:UoL-UT Genome sequencing and assembly
279272;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Trombiculidae;Leptotrombidium;Leptotrombidium pallidum;;GCA_013372475.1;Seoul National University;South Korea;Asia;Asia;global_north;Contig;2279;3,36;ASM1337247v1;;SPECIES;species;170868783;8,23;24.06.20;"Illumina MiSeq; Illumina HiSeq";short;2021_January;Leptotrombidium pallidum strain:KCDC13
1965070;Eukaryota;Arthropoda;Arachnida;Trombidiformes;Trombidiidae;Dinothrombium;Dinothrombium tinctorium;GENOME_GFF;GCA_003675995.1;University of Liverpool;United Kingdom;Europe;Europe;global_north;Scaffold;16055;4,21;ASM367599v1;;SPECIES;species;180399227;8,26;23.10.18;Illumina HiSeq;short;2021_January;Dinothrombium tinctorium isolate:UoL-WK Genome sequencing and assembly
120202;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia carinata;;GCA_013167095.1;Huazhong Agricultural University;China;Asia;Asia;global_south;Chromosome;2802846;6,45;ASM1316709v1;;SPECIES;species;131590582;8,12;26.05.20;"Illumina HiSeq 2500; PacBio Sequel; HiSeq X Ten";long;2021_January;Daphnia carinata strain:WSL Genome sequencing and assembly
35525;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia magna;GENOME_GFF;GCF_003990815.1;Sungkyunkwan University;South Korea;Asia;Asia;global_north;Chromosome;14466;4,16;ASM399081v1;;SPECIES;species;122937721;8,09;07.01.19;Illumina HiSeq;short;2021_January;Daphnia magna strain:SK Genome sequencing and assembly
35527;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia obtusa;;GCA_016170125.1;Arizona State University;USA;North America;North America;global_north;Scaffold;708982;5,85;FS6 v1.0;;SPECIES;species;167553630;8,22;21.12.20;PacBio Sequel;long;2021_January;Daphnia obtusa isolate:FS6 Genome sequencing and assembly
6669;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulex;;GCA_900092285.2;INDIANA UNIVERSITY BLOOMINGTON;USA;North America;North America;global_north;Scaffold;194489;5,29;PA42 4.1;common water flea;SPECIES;species;189550516;8,28;30.09.19;N/A;none;2021_January;Comparative genomics of the Daphnia pulex species complex
35523;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Daphniidae;Daphnia;Daphnia pulicaria;;GCA_017493165.1;Indiana University;USA;North America;North America;global_north;Chromosome;231522;5,36;DPuli_LK16;;SPECIES;species;193108097;8,29;19.03.21;"PacBio Sequel; Illumina HiSeq; Dovetail Chicago; Dovetail Hi-C";long;2021_June;Daphnia pulicaria isolate:LK16 Genome sequencing and assembly
117534;Eukaryota;Arthropoda;Branchiopoda;Diplostraca;Limnadiidae;Eulimnadia;Eulimnadia texana;;GCA_002872375.1;University of California, Irvine;USA;North America;North America;global_north;Scaffold;10428323;7,02;clam_shrimp_assembly_v0.1;;SPECIES;species;120535642;8,08;10.01.18;"Illumina Hi-Seq 2500; PacBio RSII";long;2021_January;Eulimnadia texana whole genome sequencing
217954;Eukaryota;Arthropoda;Branchiopoda;Notostraca;Triopsidae;Lepidurus;Lepidurus apus;;GCA_003723985.1;University of Bologna;Italy;Europe;Europe;global_north;Scaffold;15890;4,2;Lubb2018;;SUBSPECIES;species;87970075;7,94;13.11.18;Illumina HiSeq;short;2021_January;Lepidurus Genome sequencing and assembly
77708;Eukaryota;Arthropoda;Branchiopoda;Notostraca;Triopsidae;Lepidurus;Lepidurus arcticus;;GCA_003724045.1;University of Bologna;Italy;Europe;Europe;global_north;Scaffold;82939;4,92;ASM372404v1;;SPECIES;species;73105941;7,86;13.11.18;Illumina HiSeq;short;2021_January;Lepidurus Genome sequencing and assembly
194544;Eukaryota;Arthropoda;Branchiopoda;Notostraca;Triopsidae;Triops;Triops cancriformis;;GCA_000981345.1;Institute for Advanced Biosciences, Keio University;Japan;Asia;Asia;global_north;Contig;12735;4,1;tcf_1.0;;SPECIES;species;109181683;8,04;26.03.15;Illumina Hiseq2000;short;2021_January;Triops cancriformis project
126957;Eukaryota;Arthropoda;Chilopoda;Geophilomorpha;Linotaeniidae;Strigamia;Strigamia maritima;;GCA_000239455.1;Baylor College of Medicine;USA;North America;North America;global_north;Scaffold;24745;4,39;Smar_1.0;;SPECIES;species;176210797;8,25;22.12.11;454;short;2021_January;Strigamia maritima is a centipede and a member of the Myriapoda, a large group that includes both centipedes and millipedes
187695;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Entomobryidae;Sinella;Sinella curviseta;;GCA_004115045.3;Nanjing Agricultural University;China;Asia;Asia;global_south;Chromosome;821727;5,91;ASM411504v3;;SPECIES;species;364329999;8,56;26.05.20;"Illumina NovaSeq; PacBio Sequel";long;2021_January;Sinella curviseta isolate:NJ population Genome sequencing and assembly
370036;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Desoria;Desoria tigrina;;GCA_906901685.1;LOEWE-TBG;Germany;Europe;Europe;global_north;Scaffold;5628779;6,75;SCDETI_UL_ASM1;;SPECIES;species;211462971;8,33;13.05.21;N/A;none;2021_June;Biodiversity genomics of small metazoa: high quality de novo genomes from single specimens of field-collected and ethanol-preserved springtails
158441;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Isotomidae;Folsomia;Folsomia candida;GENOME_GFF;GCF_002217175.1;VU Amsterdam;Netherlands;Europe;Europe;global_north;Scaffold;4885648;6,69;ASM221717v1;;SPECIES;species;221702752;8,35;12.07.17;PacBio;long;2021_January;Folsomia candida strain:VU population Genome sequencing and assembly
2581075;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Oncopoduridae;Oncopodura;Oncopodura yosiiana;;GCA_009869805.1;Nanjing Agricultural University;China;Asia;Asia;global_south;Scaffold;13246;4,12;ASM986980v1;;SPECIES;species;118350332;8,07;14.01.20;Illumina HiSeq;short;2021_January;Genome sequencing and assembly of Collembola
48709;Eukaryota;Arthropoda;Collembola;Entomobryomorpha;Orchesellidae;Orchesella;Orchesella cincta;GENOME_GFF;GCA_001718145.1;BE-Basic;Netherlands;Europe;Europe;global_north;Scaffold;64904;4,81;ASM171814v1;;SPECIES;species;286766519;8,46;02.09.16;"PacBio; Illumina HiSeq";long;2021_January;Orchesella cincta Genome sequencing and assembly
